ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	log2FC	Label2	Imputed.FDR
P39019	RPS19	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	TISSUE SPECIFICITY: Higher level expression is seen in the colon carcinoma tissue than normal colon tissue. {ECO:0000269|PubMed:1339304}.	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cytoplasmic translation [GO:0002181]; defense response to Gram-negative bacterium [GO:0050829]; erythrocyte differentiation [GO:0030218]; killing of cells of another organism [GO:0031640]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; monocyte chemotaxis [GO:0002548]; negative regulation of respiratory burst involved in inflammatory response [GO:0060266]; nucleolus organization [GO:0007000]; positive regulation of respiratory burst involved in inflammatory response [GO:0060265]; response to extracellular stimulus [GO:0009991]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]	fibroblast growth factor binding [GO:0017134]; identical protein binding [GO:0042802]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:12586610, ECO:0000269|PubMed:17517689, ECO:0000269|PubMed:34516797}.	P39019	0.5010098168982721	individual-northstar	0.940783788350908
P39023	RPL3	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B)		cellular response to interleukin-4 [GO:0071353]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16963496}. Cytoplasm {ECO:0000269|PubMed:16963496, ECO:0000269|PubMed:23636399}.	P39023	-0.353265515190275	individual-northstar	0.967700158381326
P40617	ARL4A	ADP-ribosylation factor-like protein 4A		brown fat cell differentiation [GO:0050873]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Nucleus, nucleolus. Note=Localization in the nucleolus is dependent by nucleotide binding.	P40617	-0.169756185635746	individual-northstar	0.9752182272253158
P42330	AKR1C3	Aldo-keto reductase family 1 member C3 (EC 1.1.1.-) (EC 1.1.1.210) (EC 1.1.1.53) (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239, EC 1.1.1.64)	TISSUE SPECIFICITY: Expressed in many tissues including adrenal gland, brain, kidney, liver, lung, mammary gland, placenta, small intestine, colon, spleen, prostate and testis. High expression in prostate and mammary gland. In the prostate, higher levels in epithelial cells than in stromal cells. In the brain, expressed in medulla, spinal cord, frontotemporal lobes, thalamus, subthalamic nuclei and amygdala. Weaker expression in the hippocampus, substantia nigra and caudate. {ECO:0000269|PubMed:10557352, ECO:0000269|PubMed:10622721, ECO:0000269|PubMed:11165022, ECO:0000269|PubMed:7650035, ECO:0000269|PubMed:9415401, ECO:0000269|PubMed:9927279}.	cellular response to calcium ion [GO:0071277]; cellular response to corticosteroid stimulus [GO:0071384]; cellular response to jasmonic acid stimulus [GO:0071395]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to prostaglandin stimulus [GO:0071379]; cellular response to starvation [GO:0009267]; cyclooxygenase pathway [GO:0019371]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; farnesol catabolic process [GO:0016488]; G protein-coupled receptor signaling pathway [GO:0007186]; keratinocyte differentiation [GO:0030216]; macromolecule metabolic process [GO:0043170]; male gonad development [GO:0008584]; negative regulation of retinoic acid biosynthetic process [GO:1900053]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; progesterone metabolic process [GO:0042448]; prostaglandin metabolic process [GO:0006693]; regulation of retinoic acid receptor signaling pathway [GO:0048385]; regulation of testosterone biosynthetic process [GO:2000224]; renal absorption [GO:0070293]; response to nutrient [GO:0007584]; retinal metabolic process [GO:0042574]; retinoid metabolic process [GO:0001523]; steroid metabolic process [GO:0008202]; testosterone biosynthetic process [GO:0061370]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]	15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity [GO:0047020]; 5alpha-androstane-3beta,17beta-diol dehydrogenase activity [GO:0047024]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; androstan-3-alpha,17-beta-diol dehydrogenase activity [GO:0047044]; androsterone dehydrogenase activity [GO:0047023]; bile acid binding [GO:0032052]; delta4-3-oxosteroid 5beta-reductase activity [GO:0047787]; dihydrotestosterone 17-beta-dehydrogenase activity [GO:0035410]; estradiol 17-beta-dehydrogenase [NAD(P)] activity [GO:0004303]; geranylgeranyl reductase activity [GO:0045550]; ketoreductase activity [GO:0045703]; ketosteroid monooxygenase activity [GO:0047086]; NAD-retinol dehydrogenase activity [GO:0004745]; NADP-retinol dehydrogenase activity [GO:0052650]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; phenanthrene 9,10-monooxygenase activity [GO:0018636]; prostaglandin D2 11-ketoreductase activity [GO:0036131]; prostaglandin H2 endoperoxidase reductase activity [GO:0036130]; prostaglandin-F synthase activity [GO:0047017]; retinal dehydrogenase activity [GO:0001758]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]; testosterone dehydrogenase (NAD+) activity [GO:0047035]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10622721}.	P42330	0.261366193336393	individual-northstar	0.978492423618622
P43490	NAMPT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	TISSUE SPECIFICITY: Expressed in large amounts in bone marrow, liver tissue, and muscle. Also present in heart, placenta, lung, and kidney tissues.	cell-cell signaling [GO:0007267]; circadian regulation of gene expression [GO:0032922]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; NAD biosynthetic process [GO:0009435]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of transcription by RNA polymerase II [GO:0045944]; signal transduction [GO:0007165]	cell junction [GO:0030054]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nuclear speck [GO:0016607]	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; nicotinamide phosphoribosyltransferase activity [GO:0047280]	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24130902}. Cytoplasm {ECO:0000250|UniProtKB:Q99KQ4}. Secreted {ECO:0000269|PubMed:21741723}. Note=Under non-inflammatory conditions, visfatin predominantly exhibits a granular pattern within the nucleus. Secreted by endothelial cells upon IL-1beta stimulation. Abundantly secreted in milk, reaching 100-fold higher concentrations compared to maternal serum. {ECO:0000269|PubMed:21741723, ECO:0000269|PubMed:24130902}.	P43490	0.11071645187464	individual-northstar	0.978492423618622
P43652	AFM	Afamin (Alpha-albumin) (Alpha-Alb)	TISSUE SPECIFICITY: High level detected in plasma but also in extravascular fluids such as follicular and cerebrospinal fluids (at protein level). {ECO:0000269|PubMed:12463752, ECO:0000269|PubMed:15952736, ECO:0000269|PubMed:7517938}.	protein stabilization [GO:0050821]; protein transport within extracellular region [GO:0071693]; vitamin transport [GO:0051180]	blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	vitamin E binding [GO:0008431]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12463752, ECO:0000269|PubMed:15952736, ECO:0000269|PubMed:26902720, ECO:0000269|PubMed:7517938}.	P43652	0.290727565427254	individual-northstar	0.940783788350908
P45877	PPIC	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (Rotamase C)	TISSUE SPECIFICITY: Expressed in kidney, skeletal muscle, pancreas, heart, lung, liver and to a lower extent in brain. {ECO:0000269|PubMed:8031755}.	protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P30412}.	P45877	0.5167643820860779	individual-northstar	0.940783788350908
P46776	RPL27A	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a)		cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; synapse [GO:0045202]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.	P46776	-0.717515814369994	individual-northstar	0.940783788350908
P46777	RPL5	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)		cytoplasmic translation [GO:0002181]; negative regulation of protein neddylation [GO:2000435]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of gene expression [GO:0010628]; positive regulation of translation [GO:0045727]; protein stabilization [GO:0050821]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]	5S rRNA binding [GO:0008097]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; ubiquitin protein ligase binding [GO:0031625]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15469983, ECO:0000269|Ref.7}. Nucleus, nucleolus {ECO:0000269|PubMed:15469983, ECO:0000269|Ref.7}. Note=Although RP5 is functional within the cytoplasm, the assembly of ribosomal subunits occurs in the nucleus. RPL5 nuclear import is mediated by IPO5/RanBP5, IPO7/RanBP7, KPNB1/importin-beta or TPNO1/Trn. {ECO:0000269|PubMed:9687515}.	P46777	0.509678269603978	individual-northstar	0.940783788350908
P46778	RPL21	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)		cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25957688}. Cytoplasm {ECO:0000305|PubMed:23636399, ECO:0000305|PubMed:25901680}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P49666}. Note=Detected on cytosolic polysomes (PubMed:25957688). Detected in ribosomes that are associated with the rough endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:P49666, ECO:0000269|PubMed:25957688}.	P46778	0.5690058204127191	individual-northstar	0.940783788350908
P46781	RPS9	Small ribosomal subunit protein uS4 (40S ribosomal protein S9)		cytoplasmic translation [GO:0002181]; positive regulation of cell population proliferation [GO:0008284]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation regulator activity [GO:0045182]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:34516797}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}.	P46781	-0.49167092397952	individual-northstar	0.952623476994802
P46782	RPS5	Small ribosomal subunit protein uS7 (40S ribosomal protein S5) [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed (40S ribosomal protein S5, N-terminally processed)]		cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:34516797}.	P46782	0.4252557682690529	individual-northstar	0.940783788350908
P46783	RPS10	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)		cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20159986, ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:20159986}. Note=Localized in the granular component (GC) region of the nucleolus. Methylation is required for its localization in the GC region. Colocalizes with NPS1 in the GC region of the nucleolus. {ECO:0000269|PubMed:20159986}.	P46783	-0.4458936116836819	individual-northstar	0.97537041814965
P46940	IQGAP1	Ras GTPase-activating-like protein IQGAP1 (p195)	TISSUE SPECIFICITY: Expressed in the placenta, lung, and kidney (PubMed:8051149). A lower level expression is seen in the heart, liver, skeletal muscle and pancreas (PubMed:8051149). {ECO:0000269|PubMed:8051149}.	cell migration [GO:0016477]; cellular response to calcium ion [GO:0071277]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; epidermal growth factor receptor signaling pathway [GO:0007173]; fibroblast growth factor receptor signaling pathway [GO:0008543]; fibroblast migration [GO:0010761]; mitotic actomyosin contractile ring assembly actin filament organization [GO:1903479]; negative regulation of dephosphorylation [GO:0035305]; neuron projection extension [GO:1990138]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; podocyte development [GO:0072015]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein kinase activity [GO:0045860]; regulation of cytokine production [GO:0001817]; regulation of mitotic cell cycle [GO:0007346]; signal transduction [GO:0007165]	actin filament [GO:0005884]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cell cortex [GO:0005938]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lateral plasma membrane [GO:0016328]; microtubule [GO:0005874]; midbody [GO:0030496]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; ruffle [GO:0001726]; secretory granule membrane [GO:0030667]; slit diaphragm [GO:0036057]	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; GTPase activator activity [GO:0005096]; GTPase inhibitor activity [GO:0005095]; MAP-kinase scaffold activity [GO:0005078]; molecular adaptor activity [GO:0060090]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activator activity [GO:0043539]; S100 protein binding [GO:0044548]; small GTPase binding [GO:0031267]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15355962, ECO:0000269|PubMed:29033352}. Nucleus {ECO:0000269|PubMed:20883816, ECO:0000269|PubMed:29033352}. Cytoplasm {ECO:0000269|PubMed:20883816, ECO:0000269|PubMed:29033352}. Apical cell membrane {ECO:0000269|PubMed:35601831}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q9JKF1}. Note=Subcellular distribution is regulated by the cell cycle, nuclear levels increase at G1/S phase (PubMed:20883816). {ECO:0000269|PubMed:20883816}.	P46940	0.300159081287265	individual-northstar	0.944002371397738
P47895	ALDH1A3	Retinaldehyde dehydrogenase 3 (RALDH-3) (RalDH3) (EC 1.2.1.36) (Aldehyde dehydrogenase 6) (Aldehyde dehydrogenase family 1 member A3) (ALDH1A3)	TISSUE SPECIFICITY: Expressed at low levels in many tissues and at higher levels in salivary gland, stomach, and kidney. {ECO:0000269|PubMed:7698756}.	apoptotic process [GO:0006915]; embryonic camera-type eye development [GO:0031076]; embryonic eye morphogenesis [GO:0048048]; face development [GO:0060324]; Harderian gland development [GO:0070384]; inner ear morphogenesis [GO:0042472]; locomotory behavior [GO:0007626]; neuromuscular process controlling balance [GO:0050885]; nucleus accumbens development [GO:0021768]; olfactory pit development [GO:0060166]; optic cup morphogenesis involved in camera-type eye development [GO:0002072]; positive regulation of apoptotic process [GO:0043065]; protein homotetramerization [GO:0051289]; retinal metabolic process [GO:0042574]; retinoic acid biosynthetic process [GO:0002138]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; righting reflex [GO:0060013]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; NAD+ binding [GO:0070403]; protein homodimerization activity [GO:0042803]; retinal dehydrogenase activity [GO:0001758]; thyroid hormone binding [GO:0070324]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9JHW9}.	P47895	0.582002132605683	individual-northstar	0.940783788350908
P47914	RPL29	Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (Cell surface heparin-binding protein HIP)		cytoplasmic translation [GO:0002181]; embryo implantation [GO:0007566]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]	cadherin binding [GO:0045296]; heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.	P47914	-0.7501256357718921	individual-northstar	0.940783788350908
P47989	XDH	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	TISSUE SPECIFICITY: Detected in milk (at protein level). {ECO:0000269|Ref.12}.	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; adenosine catabolic process [GO:0006154]; allantoin metabolic process [GO:0000255]; amide catabolic process [GO:0043605]; AMP catabolic process [GO:0006196]; dAMP catabolic process [GO:0046059]; deoxyadenosine catabolic process [GO:0006157]; deoxyguanosine catabolic process [GO:0006161]; deoxyinosine catabolic process [GO:0006149]; dGMP catabolic process [GO:0046055]; GMP catabolic process [GO:0046038]; guanine catabolic process [GO:0006147]; hypoxanthine catabolic process [GO:0009114]; IMP catabolic process [GO:0006204]; inosine catabolic process [GO:0006148]; iron-sulfur cluster assembly [GO:0016226]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; xanthine catabolic process [GO:0009115]	cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]	2 iron, 2 sulfur cluster binding [GO:0051537]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; hypoxanthine dehydrogenase activity [GO:0070674]; hypoxanthine oxidase activity [GO:0070675]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Peroxisome {ECO:0000250}. Secreted.	P47989	0.226669374873462	individual-northstar	0.944002371397738
P48556	PSMD8	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]			P48556	0.219423489802958	individual-northstar	0.940783788350908
P48637	GSS	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)		amino acid metabolic process [GO:0006520]; nervous system development [GO:0007399]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]		P48637	0.536227417163702	individual-northstar	0.940783788350908
P48723	HSPA13	Heat shock 70 kDa protein 13 (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein)	TISSUE SPECIFICITY: Constitutively expressed in all tissues.	chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]	SUBCELLULAR LOCATION: Microsome. Endoplasmic reticulum.	P48723	-0.759780425789725	individual-northstar	0.940783788350908
P49006	MARCKSL1	MARCKS-related protein (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS)		actin filament organization [GO:0007015]; cell population proliferation [GO:0008283]; central nervous system development [GO:0007417]; positive regulation of cell population proliferation [GO:0008284]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]	actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P28667}. Cell membrane {ECO:0000305|PubMed:22751924, ECO:0000305|PubMed:25255805}; Lipid-anchor {ECO:0000305|PubMed:25255805}. Note=Associates with the membrane via the insertion of the N-terminal N-myristoyl chain and the partial insertion of the effector domain. Association of the effector domain with membranes may be regulated by Ca(2+)/calmodulin. Colocalizes with F-actin at the leading edge of migrating cells (By similarity). In prostate cancers, shows strong expression at apical and/or basal regions of the cell and also has weak cytoplasmic expression (PubMed:22751924). {ECO:0000250|UniProtKB:P28667, ECO:0000269|PubMed:22751924}.	P49006	-1.05497192891389	individual-northstar	0.940783788350908
